Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
P0DPI2;A0A0B4J2D5	P0DPI2;A0A0B4J2D5	1;1	1;1	1;1			sp|P0DPI2|GAL3A_HUMAN Glutamine amidotransferase-like class 1 domain-containing protein 3, mitochondrial OS=Homo sapiens OX=9606 GN=GATD3 PE=1 SV=1;sp|A0A0B4J2D5|GAL3B_HUMAN Putative glutamine amidotransferase-like class 1 domain-containing protein 3B, mit	2	1	1	1	9.3	9.3	9.3	28.17	268	268;268	0.0095847	5.6575	563290	1	0	2690	True	2736	2885	3087	3087		
A0FGR8	A0FGR8	2	2	2	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	2	2	2	4.5	4.5	4.5	102.36	921	921	0.0	12.672	1681200	2	1	70;4806	True;True	70;4905	76;5183	77;5554	77;5554		
P55036;A2A3N6	P55036;A2A3N6	1;1	1;1	1;1	26S proteasome non-ATPase regulatory subunit 4;Putative PIP5K1A and PSMD4-like protein	PSMD4;PIPSL	sp|P55036|PSMD4_HUMAN 26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens OX=9606 GN=PSMD4 PE=1 SV=1;sp|A2A3N6|PIPSL_HUMAN Putative PIP5K1A and PSMD4-like protein OS=Homo sapiens OX=9606 GN=PIPSL PE=5 SV=1	2	1	1	1	4.5	4.5	4.5	40.736	377	377;862	0.0	7.2179	769640	1	2	5300	True	5409	5706	6116	6116		
A6NHR9	A6NHR9	1	1	1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	1	1	1	0.5	0.5	0.5	226.37	2005	2005	0.0	6.7895	566450	1	3	3191	True	3246	3436	3683	3683		
P62308;A8MWD9	P62308;A8MWD9	1;1	1;1	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2	1	1	1	15.8	15.8	15.8	8.496	76	76;76	0.0	8.2418	3556100	4	4	2038	True	2073;2074	2179;2180	2317;2318;2319;2320	2320	0	69
Q99613;B5ME19	Q99613;B5ME19	8;8	8;8	8;8	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1	2	8	8	8	9.6	9.6	9.6	105.34	913	913;914	0.0	52.229	7478400	8	5	578;626;673;1248;1502;1756;4682;5444	True;True;True;True;True;True;True;True	583;631;680;1268;1528;1788;4776;5556	608;658;710;1340;1605;1877;5042;5860	647;698;754;1424;1704;1994;5384;6283	647;698;754;1424;1704;1994;5384;6283		
E9PAV3;Q9BZK3	E9PAV3	4;1	4;1	4;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	2	4	4	4	2.6	2.6	2.6	205.42	2078	2078;213	0.0	40.582	16713000	4	15	715;2413;3766;4478	True;True;True;True	723;2451;3848;4570	758;2584;4067;4822	802;2761;4353;5144	802;2761;4353;5144		
G2XKQ0;P63165	G2XKQ0;P63165	1;1	1;1	1;1	Small ubiquitin-related modifier;Small ubiquitin-related modifier 1	SUMO1	sp|G2XKQ0|SUMO5_HUMAN Small ubiquitin-related modifier 5 OS=Homo sapiens OX=9606 GN=SUMO1P1 PE=1 SV=2;sp|P63165|SUMO1_HUMAN Small ubiquitin-related modifier 1 OS=Homo sapiens OX=9606 GN=SUMO1 PE=1 SV=1	2	1	1	1	11.9	11.9	11.9	11.526	101	101;101	0.0065789	5.7925	800930	1	16	5152	True	5256	5548	5945	5945		
O00116	O00116	2	2	2	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	sp|O00116|ADAS_HUMAN Alkyldihydroxyacetonephosphate synthase, peroxisomal OS=Homo sapiens OX=9606 GN=AGPS PE=1 SV=1	1	2	2	2	4.9	4.9	4.9	72.911	658	658	0.0	14.421	1485200	2	17	1837;3777	True;True	1870;3859	1963;4079	2086;4365	2086;4365		
O00148	O00148	8	1	1	ATP-dependent RNA helicase DDX39A	DDX39A	sp|O00148|DX39A_HUMAN ATP-dependent RNA helicase DDX39A OS=Homo sapiens OX=9606 GN=DDX39A PE=1 SV=2	1	8	1	1	26.9	4.4	4.4	49.129	427	427	0.0095618	5.6506	823780	1	18	227;680;1197;1960;2111;2566;3451;5283	False;False;False;False;False;False;False;True	228;687;1216;1995;2147;2607;3508;5392	236;717;1287;2097;2257;2752;3709;5688	245;761;1367;2230;2398;2947;3971;6095	245;761;1367;2230;2398;2947;3971;6095		
