Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0AVT1	A0AVT1	1	1	1	Ubiquitin-like modifier-activating enzyme 6	UBA6	sp|A0AVT1|UBA6_HUMAN Ubiquitin-like modifier-activating enzyme 6 OS=Homo sapiens OX=9606 GN=UBA6 PE=1 SV=1	1	1	1	1	0.9	0.9	0.9	117.97	1052	1052	0.003882	5.6837	393040	1	0	4921	True	5026	5334	5714	5714		
A0FGR8	A0FGR8	2	2	2	Extended synaptotagmin-2	ESYT2	sp|A0FGR8|ESYT2_HUMAN Extended synaptotagmin-2 OS=Homo sapiens OX=9606 GN=ESYT2 PE=1 SV=1	1	2	2	2	4.5	4.5	4.5	102.36	921	921	0.0	12.237	1819500	2	1	83;4826	True;True	83;4929	90;5233	94;5608	94;5608		
A0MZ66	A0MZ66	1	1	1	Shootin-1	KIAA1598	sp|A0MZ66|SHOT1_HUMAN Shootin-1 OS=Homo sapiens OX=9606 GN=SHTN1 PE=1 SV=4	1	1	1	1	1.6	1.6	1.6	71.639	631	631	0.00092507	6.7025	576320	1	2	2574	True	2620	2789	2990	2990		
A5YKK6	A5YKK6	1	1	1	CCR4-NOT transcription complex subunit 1	CNOT1	sp|A5YKK6|CNOT1_HUMAN CCR4-NOT transcription complex subunit 1 OS=Homo sapiens OX=9606 GN=CNOT1 PE=1 SV=2	1	1	1	1	0.4	0.4	0.4	266.94	2376	2376	0.0	7.696	417390	1	3	4459	True	4557	4829	5150	5150		
A6NHQ2	A6NHQ2	1	1	1	rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1	FBLL1	sp|A6NHQ2|FBLL1_HUMAN rRNA/tRNA 2-O-methyltransferase fibrillarin-like protein 1 OS=Homo sapiens OX=9606 GN=FBLL1 PE=3 SV=2	1	1	1	1	3.3	3.3	3.3	34.803	334	334	0.0039124	5.7242	611980	1	4	4828	True	4931	5235	5610	5610		
A6NHR9	A6NHR9	2	2	2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	sp|A6NHR9|SMHD1_HUMAN Structural maintenance of chromosomes flexible hinge domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SMCHD1 PE=1 SV=2	1	2	2	2	1.1	1.1	1.1	226.37	2005	2005	0.0	12.431	1227400	2	5	891;3236	True;True	908;3294	964;3503	1034;3750	1034;3750		
P11488;P63096;P19087;P09471;P08754;A8MTJ3;P04899;P38405;Q5JWF2	P11488;P63096;P19087;P09471;P08754;A8MTJ3;P04899;P38405;Q5JWF2	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1	Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAT1;GNAI1;GNAT2;GNAO1;GNAI3;GNAT3;GNAI2;GNAL;GNAS	sp|P11488|GNAT1_HUMAN Guanine nucleotide-binding protein G(t) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAT1 PE=1 SV=5;sp|P63096|GNAI1_HUMAN Guanine nucleotide-binding protein G(i) subunit alpha-1 OS=Homo sapiens OX=9606 GN=GNAI1 PE=1 SV=2;sp|P19087|GNAT	9	1	1	1	3.1	3.1	3.1	40.04	350	350;354;354;354;354;354;355;381;1037	0.0	7.1948	1342600	1	6	3240	True	3298	3507	3754	3754		
P62308;A8MWD9	P62308;A8MWD9	1;1	1;1	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	sp|P62308|RUXG_HUMAN Small nuclear ribonucleoprotein G OS=Homo sapiens OX=9606 GN=SNRPG PE=1 SV=1;sp|A8MWD9|RUXGL_HUMAN Putative small nuclear ribonucleoprotein G-like protein 15 OS=Homo sapiens OX=9606 GN=SNRPGP15 PE=5 SV=2	2	1	1	1	15.8	15.8	15.8	8.496	76	76;76	0.0	9.2387	4033400	3	7	2074	True	2114;2115	2238;2239	2393;2394;2395	2393	0	69
Q99613;B5ME19	Q99613;B5ME19	6;6	6;6	6;6	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	sp|Q99613|EIF3C_HUMAN Eukaryotic translation initiation factor 3 subunit C OS=Homo sapiens OX=9606 GN=EIF3C PE=1 SV=1;sp|B5ME19|EIFCL_HUMAN Eukaryotic translation initiation factor 3 subunit C-like protein OS=Homo sapiens OX=9606 GN=EIF3CL PE=1 SV=1	2	6	6	6	6.8	6.8	6.8	105.34	913	913;914	0.0	38.171	5812500	6	8	637;688;1265;1539;1791;5478	True;True;True;True;True;True	645;698;1288;1570;1829;5592	680;737;1370;1658;1929;5925	726;788;1468;1774;2061;6364	726;788;1468;1774;2061;6364		
E9PAV3;Q9BZK3	E9PAV3	4;1	4;1	4;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	sp|E9PAV3|NACAM_HUMAN Nascent polypeptide-associated complex subunit alpha, muscle-specific form OS=Homo sapiens OX=9606 GN=NACA PE=1 SV=1	2	4	4	4	2.6	2.6	2.6	205.42	2078	2078;213	0.0	30.153	19140000	5	18	728;2456;3800;4494	True;True;True;True	739;740;2500;3886;4592	781;782;2654;4123;4867	834;835;2844;4402;5194	834;2844;4402;5194	2	2048
