Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
A0FGR8	3	Extended synaptotagmin-2	ESYT2	1	3	5.3	921	18.311	1651300	3	0	91
A0MZ66	1	Shootin-1	KIAA1598	1	1	1.6	631	6.2304	634790	1	1	3040
A5YKK6	1	CCR4-NOT transcription complex subunit 1	CNOT1	1	1	0.4	2376	6.7899	436080	1	2	5264
Q9H492	1;1;1	Microtubule-associated proteins 1A/1B light chain 3A;Microtubule-associated proteins 1A/1B light chain 3B;Microtubule-associated proteins 1A/1B light chain 3 beta 2	MAP1LC3A;MAP1LC3B;MAP1LC3B2	3	1	5.8	121;125;125	5.668	560660	1	3	3158
A6NHR9	2	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	1	2	1.1	2005	14.26	1342000	2	4	1063
P11488	1;1;1;1;1;1;1;1;1	Guanine nucleotide-binding protein G(t) subunit alpha-1;Guanine nucleotide-binding protein G(i) subunit alpha-1;Guanine nucleotide-binding protein G(t) subunit alpha-2;Guanine nucleotide-binding protein G(o) subunit alpha;Guanine nucleotide-binding protein G(k) subunit alpha;Guanine nucleotide-binding protein G(t) subunit alpha-3;Guanine nucleotide-binding protein G(i) subunit alpha-2;Guanine nucleotide-binding protein G(olf) subunit alpha;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas	GNAT1;GNAI1;GNAT2;GNAO1;GNAI3;GNAT3;GNAI2;GNAL;GNAS	9	1	3.1	350;354;354;354;354;354;355;381;1037	6.7184	1206200	1	5	3856
P62308	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	2	1	15.8	76;76	11.389	3642200	5	6	2431
Q99613	7;7	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	2	7	8.0	913;914	44.789	6102400	7	7	692
E9PAV3	4;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	2	4	2.6	2078;213	40.938	19267000	6	17	856
G2XKQ0	1;1	Small ubiquitin-related modifier;Small ubiquitin-related modifier 1	SUMO1	2	1	11.9	101;101	6.8177	829290	1	18	6122
O00116	2	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	1	2	4.9	658	14.065	1675500	2	19	2188
O00151	5	PDZ and LIM domain protein 1	PDLIM1	1	5	20.4	329	31.278	5170800	5	20	806
O00154	1	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	1	1	2.9	380	6.2132	694480	1	21	547
O00159	8	Unconventional myosin-Ic	MYO1C	1	8	9.9	1063	52.373	6489100	8	22	2303
O00170	1	AH receptor-interacting protein	AIP	1	1	5.8	330	6.1256	1267000	1	23	4252
O00203	1	AP-3 complex subunit beta-1	AP3B1	1	1	1.2	1094	7.473	997780	1	24	516
O00231	9	26S proteasome non-ATPase regulatory subunit 11	PSMD11	1	9	26.3	422	55.703	6779800	9	25	347
O00232	4	26S proteasome non-ATPase regulatory subunit 12	PSMD12	1	4	9.2	456	25.157	3228500	4	26	3337
O00244	1	Copper transport protein ATOX1	ATOX1	1	1	25.0	68	5.8767	725270	1	27	5935
O00264	2	Membrane-associated progesterone receptor component 1	PGRMC1	1	2	11.3	195	12.232	1602700	2	28	830
O00299	11	Chloride intracellular channel protein 1	CLIC1	1	11	70.1	241	71.773	27573000	14	29	1281
O00303	4	Eukaryotic translation initiation factor 3 subunit F	EIF3F	1	4	17.1	357	31.16	4462100	4	30	1219
O00410	12	Importin-5	IPO5	1	12	18.2	1097	77.569	11960000	13	31	243
O00469	6	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	1	6	9.4	737	39.735	4633600	6	32	2180
O00487	2	26S proteasome non-ATPase regulatory subunit 14	PSMD14	1	2	6.5	310	13.092	1251100	2	33	563
O00505	3;2	Importin subunit alpha-4;Importin subunit alpha-3	KPNA3;KPNA4	2	3	6.9	521;521	18.963	1440500	2	34	1061
O00533	1	Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein	CHL1	1	1	0.6	1208	5.8929	1356400	1	35	1568
O00571	14;9;1	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	3	14	23.7	662;660;724	92.858	14812000	14	36	942
O00764	2	Pyridoxal kinase	PDXK	1	2	8.7	312	13.751	1342400	2	37	2483
O14684	1	Prostaglandin E synthase	PTGES	1	1	6.6	152	6.7578	670630	1	38	158
O14737	4	Programmed cell death protein 5	PDCD5	1	4	35.2	125	27.55	4089300	4	39	81
O14744	4	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	1	4	9.9	637	25.138	2539700	4	40	30
O14776	1	Transcription elongation regulator 1	TCERG1	1	1	1.0	1098	7.3376	958440	1	41	3768
O14818	7;4	Proteasome subunit alpha type-7;Proteasome subunit alpha type-7-like	PSMA7;PSMA8	2	7	36.7	248;256	44.809	15863000	7	42	264
O14828	3	Secretory carrier-associated membrane protein 3	SCAMP3	1	3	13.3	347	18.506	1987600	3	43	486
P19105	7;7;4	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B;Myosin regulatory light polypeptide 9	MYL12A;MYL12B;MYL9	3	7	52.0	171;172;172	48.964	15369000	8	44	550
O14964	1	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	1	1	3.3	777	6.5344	663920	1	45	5019
O14979	5	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	1	5	16.7	420	31.8	7265900	6	46	975
O14980	8	Exportin-1	XPO1	1	8	9.9	1071	58.348	10680000	9	47	595
O15067	9	Phosphoribosylformylglycinamidine synthase	PFAS	1	9	9.8	1338	56.45	8479700	9	48	182
O15118	2	Niemann-Pick C1 protein	NPC1	1	2	3.0	1278	11.427	2038300	2	49	1703
O15143	5;1	Actin-related protein 2/3 complex subunit 1B	ARPC1B	2	5	19.1	372;370	32.94	4030000	5	50	650
O15144	3	Actin-related protein 2/3 complex subunit 2	ARPC2	1	3	17.3	300	17.706	3661900	3	51	1804
O15145	1	Actin-related protein 2/3 complex subunit 3	ARPC3	1	1	7.3	178	8.2674	1319600	1	52	1072
O15173	3	Membrane-associated progesterone receptor component 2	PGRMC2	1	3	9.9	223	19.256	1473300	3	53	827
O15212	2	Prefoldin subunit 6	PFDN6	1	2	17.8	129	15.049	1184400	2	54	1291
O15260	1	Surfeit locus protein 4	SURF4	1	1	4.8	269	8.295	2146300	1	55	3524
O15347	1	High mobility group protein B3	HMGB3	1	1	6.5	200	5.6629	665540	1	56	4588
O15355	4	Protein phosphatase 1G	PPM1G	1	4	8.8	546	28.084	3118600	4	57	297
O15371	4	Eukaryotic translation initiation factor 3 subunit D	EIF3D	1	4	12.6	548	25.906	5062400	4	58	2940
O15372	3	Eukaryotic translation initiation factor 3 subunit H	EIF3H	1	3	9.7	352	17.683	2107000	3	59	4622
O15427	3	Monocarboxylate transporter 4	SLC16A3	1	3	9.5	465	17.882	2186900	3	60	623
O43143	9	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	1	9	14.8	795	59.143	6412100	9	61	1165
O43148	1	mRNA cap guanine-N7 methyltransferase	RNMT	1	1	2.1	476	6.4996	522790	1	62	5425
O43169	3	Cytochrome b5 type B	CYB5B	1	3	36.7	150	20.855	4074900	3	63	1537
O43175	10	D-3-phosphoglycerate dehydrogenase	PHGDH	1	10	22.9	533	63.165	13796000	10	64	390
O43237	1;1	Cytoplasmic dynein 1 light intermediate chain 2;Cytoplasmic dynein 1 light intermediate chain 1	DYNC1LI2;DYNC1LI1	2	1	2.6	492;523	6.9279	589380	1	65	704
O43242	4	26S proteasome non-ATPase regulatory subunit 3	PSMD3	1	4	8.4	534	26.379	2236000	3	66	258
O43252	1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	1	1	4.0	624	9.8884	678560	1	67	4873
O43324	2	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	1	2	12.1	174	12.934	1132300	2	68	1
O43390	13	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	1	13	21.8	633	78.781	15037000	13	69	985
O43396	1	Thioredoxin-like protein 1	TXNL1	1	1	2.4	289	5.7331	790790	1	70	2941
O43399	5	Tumor protein D54	TPD52L2	1	5	27.7	206	34.222	5290900	5	71	5445
O43615	1	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	1	1	3.3	452	9.072	0	1	72	6054
O43670	1	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	1	1	2.7	478	5.9124	806980	1	73	3736
O43681	4	ATPase ASNA1	ASNA1	1	4	16.1	348	24.766	2872000	4	74	1617
O43684	3	Mitotic checkpoint protein BUB3	BUB3	1	3	11.3	328	20.071	1849100	3	75	3943
O43707	29;4;1	Alpha-actinin-4	ACTN4	3	29	32.9	911;901;2564	214.9	61747000	32	76	72
O43760	1	Synaptogyrin-2	SYNGR2	1	1	4.5	224	7.6462	0	1	77	1111
O43768	1	Alpha-endosulfine	ENSA	1	1	14.0	121	6.1747	945550	1	78	4566
O43776	6	Asparagine--tRNA ligase, cytoplasmic	NARS	1	6	15.7	548	42.93	6778000	6	79	1566
O43795	2;1	Unconventional myosin-Ib;Unconventional myosin-Ia	MYO1B;MYO1A	2	2	1.6	1136;1043	11.656	918050	2	80	3000
O43809	3	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	1	3	17.2	227	19.094	3569900	3	81	3670
O43847	1	Nardilysin	NRD1	1	1	0.7	1151	5.9516	741380	1	82	3847
O43852	7	Calumenin	CALU	1	7	32.7	315	45.742	8941400	7	83	893
O60256	1	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	1	1	4.6	369	10.031	954110	1	84	524
O60264	3;2	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1	SMARCA5;SMARCA1	2	3	2.9	1052;1054	20.228	1695200	3	85	417
O60313	1	Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	OPA1	1	1	1.6	960	8.2252	997910	1	86	582
O60493	1	Sorting nexin-3	SNX3	1	1	4.9	162	5.8864	745020	1	87	6771
O60506	8	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	1	8	17.7	623	56.135	17899000	10	88	922
O60610	3	Protein diaphanous homolog 1	DIAPH1	1	3	3.0	1272	21.131	2409700	3	89	1479
O60664	6	Perilipin-3	PLIN3	1	6	23.5	434	42.495	6456700	6	90	2835
O60678	1	Protein arginine N-methyltransferase 3	PRMT3	1	1	2.1	531	6.3416	507780	1	91	2810
O60701	17	UDP-glucose 6-dehydrogenase	UGDH	1	17	45.1	494	118.2	57895000	18	92	620
O60716	4	Catenin delta-1	CTNND1	1	4	5.2	968	27.174	2400400	4	93	364
O60749	1	Sorting nexin-2	SNX2	1	1	2.7	519	6.545	521420	1	94	612
O60762	1	Dolichol-phosphate mannosyltransferase subunit 1	DPM1	1	1	8.5	260	6.3988	665680	1	95	2074
Q99880	1;1;1;1;1;1;1;1;1;0;0	Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K;Histone H2B type 1-A	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK;HIST1H2BA	11	1	7.9	126;126;126;126;126;126;126;126;126;127;122	6.0768	754170	1	96	404
O60841	1	Eukaryotic translation initiation factor 5B	EIF5B	1	1	1.6	1220	6.4815	545760	1	97	3150
O60869	2	Endothelial differentiation-related factor 1	EDF1	1	2	18.2	148	13.685	1893900	2	98	148
