Protein IDs	Peptide counts (razor+unique)	Protein names	Gene names	Number of proteins	Razor + unique peptides	Unique sequence coverage [%]	Sequence lengths	Score	Intensity	MS/MS count	id	Best MS/MS
P0DPI2	1;1			2	1	9.3	268;268	5.6575	563290	1	0	3087
A0FGR8	2	Extended synaptotagmin-2	ESYT2	1	2	4.5	921	12.672	1681200	2	1	77
P55036	1;1	26S proteasome non-ATPase regulatory subunit 4;Putative PIP5K1A and PSMD4-like protein	PSMD4;PIPSL	2	1	4.5	377;862	7.2179	769640	1	2	6116
A6NHR9	1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1	SMCHD1	1	1	0.5	2005	6.7895	566450	1	3	3683
P62308	1;1	Small nuclear ribonucleoprotein G;Putative small nuclear ribonucleoprotein G-like protein 15	SNRPG;SNRPGP15	2	1	15.8	76;76	8.2418	3556100	4	4	2320
Q99613	8;8	Eukaryotic translation initiation factor 3 subunit C;Eukaryotic translation initiation factor 3 subunit C-like protein	EIF3C;EIF3CL	2	8	9.6	913;914	52.229	7478400	8	5	647
E9PAV3	4;1	Nascent polypeptide-associated complex subunit alpha, muscle-specific form	NACA	2	4	2.6	2078;213	40.582	16713000	4	15	802
G2XKQ0	1;1	Small ubiquitin-related modifier;Small ubiquitin-related modifier 1	SUMO1	2	1	11.9	101;101	5.7925	800930	1	16	5945
O00116	2	Alkyldihydroxyacetonephosphate synthase, peroxisomal	AGPS	1	2	4.9	658	14.421	1485200	2	17	2086
O00148	1	ATP-dependent RNA helicase DDX39A	DDX39A	1	1	4.4	427	5.6506	823780	1	18	245
O00151	5	PDZ and LIM domain protein 1	PDLIM1	1	5	19.8	329	30.867	5934100	5	19	753
O00154	1	Cytosolic acyl coenzyme A thioester hydrolase	ACOT7	1	1	2.9	380	6.2742	851250	1	20	521
O00159	7	Unconventional myosin-Ic	MYO1C	1	7	8.4	1063	44.029	4499400	7	21	2459
O00203	1	AP-3 complex subunit beta-1	AP3B1	1	1	1.2	1094	6.9399	919140	1	22	484
O00217	1	NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	NDUFS8	1	1	4.3	210	5.8517	453110	1	23	5521
O00231	9	26S proteasome non-ATPase regulatory subunit 11	PSMD11	1	9	26.3	422	54.695	7144400	9	24	323
O00232	4	26S proteasome non-ATPase regulatory subunit 12	PSMD12	1	4	9.2	456	27.338	3134400	4	25	3199
O00264	3;1	Membrane-associated progesterone receptor component 1	PGRMC1	2	3	15.9	195;223	20.271	2326100	3	26	773
O00299	11	Chloride intracellular channel protein 1	CLIC1	1	11	70.1	241	76.466	24371000	14	27	1204
O00303	4	Eukaryotic translation initiation factor 3 subunit F	EIF3F	1	4	17.1	357	26.41	4839000	4	28	1143
O00410	15	Importin-5	IPO5	1	15	21.2	1097	94.148	14383000	15	29	218
O00469	4	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2	PLOD2	1	4	6.2	737	26.789	2716400	4	30	2079
O00487	1	26S proteasome non-ATPase regulatory subunit 14	PSMD14	1	1	4.2	310	8.2332	506250	1	31	535
O00505	3	Importin subunit alpha-4	KPNA3	1	3	2.5	521	19.064	1438400	2	32	990
O00533	1	Neural cell adhesion molecule L1-like protein;Processed neural cell adhesion molecule L1-like protein	CHL1	1	1	0.6	1208	5.6662	1398200	1	33	1495
O00571	11;9;1	ATP-dependent RNA helicase DDX3X;ATP-dependent RNA helicase DDX3Y	DDX3X;DDX3Y	3	11	20.2	662;660;724	75.88	12625000	11	34	878
O00629	1	Importin subunit alpha-3	KPNA4	1	1	5.4	521	5.7975	790370	1	35	1105
O00764	2	Pyridoxal kinase	PDXK	1	2	8.7	312	14.713	1126200	2	36	2370
P47813	1;1	Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal	EIF1AX;EIF1AY	2	1	7.6	144;144	6.2629	489460	1	37	1173
O14684	1	Prostaglandin E synthase	PTGES	1	1	6.6	152	6.2993	669870	1	38	140
O14737	3	Programmed cell death protein 5	PDCD5	1	3	28.0	125	23.746	3262900	4	39	548
O14744	4	Protein arginine N-methyltransferase 5;Protein arginine N-methyltransferase 5, N-terminally processed	PRMT5	1	4	8.0	637	24.67	2274600	4	40	21
O14776	1	Transcription elongation regulator 1	TCERG1	1	1	1.0	1098	7.9427	862710	1	41	3600
O14818	9;4	Proteasome subunit alpha type-7	PSMA7	2	9	44.0	248;256	57.636	21043000	10	42	242
O14828	2	Secretory carrier-associated membrane protein 3	SCAMP3	1	2	9.2	347	14.097	1144200	2	43	455
P19105	5;5;2	Myosin regulatory light chain 12A;Myosin regulatory light chain 12B	MYL12A;MYL12B	3	5	39.8	171;172;172	44.62	14319000	7	44	524
O14964	1	Hepatocyte growth factor-regulated tyrosine kinase substrate	HGS	1	1	3.3	777	6.4431	653900	1	45	4861
O14979	4	Heterogeneous nuclear ribonucleoprotein D-like	HNRNPDL	1	4	12.1	420	25.816	5874000	5	46	909
O14980	7	Exportin-1	XPO1	1	7	8.7	1071	50.838	9436700	8	47	562
O15067	9	Phosphoribosylformylglycinamidine synthase	PFAS	1	9	9.8	1338	61.488	7075900	9	48	157
O15118	2	Niemann-Pick C1 protein	NPC1	1	2	3.0	1278	11.501	1948500	2	49	1619
O15143	6;1	Actin-related protein 2/3 complex subunit 1B	ARPC1B	2	6	23.9	372;370	43.321	4592100	6	50	491
O15144	5	Actin-related protein 2/3 complex subunit 2	ARPC2	1	5	24.0	300	30.245	4214600	5	51	935
O15145	1	Actin-related protein 2/3 complex subunit 3	ARPC3	1	1	7.3	178	8.0739	1195300	1	52	1001
O15212	1	Prefoldin subunit 6	PFDN6	1	1	10.9	129	7.9172	687300	1	53	1214
O15260	1	Surfeit locus protein 4	SURF4	1	1	4.8	269	8.4801	1862700	1	54	3372
O15355	3	Protein phosphatase 1G	PPM1G	1	3	6.8	546	20.008	2295000	3	55	276
O15371	2	Eukaryotic translation initiation factor 3 subunit D	EIF3D	1	2	4.6	548	15.286	2844200	2	56	2810
O15372	2	Eukaryotic translation initiation factor 3 subunit H	EIF3H	1	2	7.1	352	12.86	2035900	2	57	4475
O15427	2	Monocarboxylate transporter 4	SLC16A3	1	2	4.5	465	11.739	1218600	2	58	2138
O43143	10	Pre-mRNA-splicing factor ATP-dependent RNA helicase DHX15	DHX15	1	10	18.1	795	61.436	8416700	10	59	934
O43148	1	mRNA cap guanine-N7 methyltransferase	RNMT	1	1	2.1	476	6.0725	563540	1	60	5270
O43169	3	Cytochrome b5 type B	CYB5B	1	3	36.7	150	22.556	3741100	3	61	1465
O43175	9	D-3-phosphoglycerate dehydrogenase	PHGDH	1	9	21.4	533	57.94	12023000	9	62	364
O43242	4	26S proteasome non-ATPase regulatory subunit 3	PSMD3	1	4	9.6	534	26.975	2791900	3	63	234
O43252	1	Bifunctional 3-phosphoadenosine 5-phosphosulfate synthase 1;Sulfate adenylyltransferase;Adenylyl-sulfate kinase	PAPSS1	1	1	4.0	624	6.4855	687720	1	64	4712
O43324	2	Eukaryotic translation elongation factor 1 epsilon-1	EEF1E1	1	2	20.1	174	10.912	1278500	2	65	1766
O43390	12	Heterogeneous nuclear ribonucleoprotein R	HNRNPR	1	12	20.7	633	79.055	20349000	13	66	917
O43396	1	Thioredoxin-like protein 1	TXNL1	1	1	2.4	289	5.9346	869290	1	67	2811
O43399	4	Tumor protein D54	TPD52L2	1	4	21.4	206	26.93	4300700	4	68	5570
O43488	1	Aflatoxin B1 aldehyde reductase member 2	AKR7A2	1	1	8.1	359	5.9918	753810	1	69	3840
O43598	1	2-deoxynucleoside 5-phosphate N-hydrolase 1	DNPH1	1	1	8.6	174	5.6635	762000	1	70	2063
O43615	3	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44	1	3	8.2	452	19.836	1643700	3	71	2120
O43670	1	BUB3-interacting and GLEBS motif-containing protein ZNF207	ZNF207	1	1	2.7	478	5.8561	847480	1	72	3573
O43681	3	ATPase ASNA1	ASNA1	1	3	13.5	348	18.116	2348000	3	73	1539
O43684	3	Mitotic checkpoint protein BUB3	BUB3	1	3	11.3	328	21.433	1671700	3	74	3769
O43707	30;5;5;1	Alpha-actinin-4	ACTN4	4	30	32.9	911;894;901;2564	212.4	61855000	31	75	62
O43708	1	Maleylacetoacetate isomerase	GSTZ1	1	1	6.5	216	6.1167	531740	1	76	3730
O43760	1	Synaptogyrin-2	SYNGR2	1	1	4.5	224	6.2007	0	1	77	1045
O43768	1	Alpha-endosulfine	ENSA	1	1	14.0	121	7.5943	979490	1	78	4414
O43776	7	Asparagine--tRNA ligase, cytoplasmic	NARS	1	7	17.9	548	50.143	8305100	7	79	1493
O43795	2;1	Unconventional myosin-Ib;Unconventional myosin-Ia	MYO1B;MYO1A	2	2	1.6	1136;1043	11.217	910290	2	80	2869
O43809	1	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	1	1	5.3	227	6.2074	1158200	1	81	5651
O43837	1	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial	IDH3B	1	1	2.6	385	6.4302	963400	1	82	2615
O43847	1	Nardilysin	NRD1	1	1	0.7	1151	6.2704	717070	1	83	3679
O43852	7	Calumenin	CALU	1	7	36.5	315	48.33	9610400	8	84	828
O60256	1	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	1	1	4.6	369	10.054	769350	1	85	490
O60264	2;1	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5;Probable global transcription activator SNF2L1	SMARCA5;SMARCA1	2	2	1.9	1052;1054	13.554	1237200	2	86	390
O60313	1	Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	OPA1	1	1	1.6	960	6.6222	865860	1	87	550
O60493	1	Sorting nexin-3	SNX3	1	1	4.9	162	5.7296	681970	1	88	6570
O60506	9	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	1	9	19.7	623	60.16	21343000	10	89	858
O60610	2	Protein diaphanous homolog 1	DIAPH1	1	2	2.1	1272	13.772	1351600	2	90	3937
O60664	6	Perilipin-3	PLIN3	1	6	23.5	434	45.698	5742800	6	91	2713
O60701	17	UDP-glucose 6-dehydrogenase	UGDH	1	17	44.9	494	116.37	49870000	17	92	585
O60716	2	Catenin delta-1	CTNND1	1	2	2.8	968	13.913	1666100	2	93	339
P41567	3;3	Eukaryotic translation initiation factor 1;Eukaryotic translation initiation factor 1b	EIF1;EIF1B	2	3	47.8	113;113	25.031	3349100	3	94	1638
O60749	1	Sorting nexin-2	SNX2	1	1	2.7	519	6.8347	446370	1	95	578
Q99880	4;4;4;4;4;4;4;4;4;1	Histone H2B type 1-L;Histone H2B type 1-M;Histone H2B type 1-N;Histone H2B type 1-H;Histone H2B type 2-F;Histone H2B type 1-C/E/F/G/I;Histone H2B type 1-D;Histone H2B type F-S;Histone H2B type 1-K	HIST1H2BL;HIST1H2BM;HIST1H2BN;HIST1H2BH;HIST2H2BF;HIST1H2BC;HIST1H2BD;H2BFS;HIST1H2BK	10	4	7.9	126;126;126;126;126;126;126;126;126;127	32.025	30163000	8	96	376
O60841	1	Eukaryotic translation initiation factor 5B	EIF5B	1	1	1.6	1220	7.0678	512380	1	97	3009
O60869	3	Endothelial differentiation-related factor 1	EDF1	1	3	25.0	148	18.907	2221300	3	98	130
O60884	3	DnaJ homolog subfamily A member 2	DNAJA2	1	3	13.1	412	19.684	3741200	3	99	1333
O60888	3	Protein CutA	CUTA	1	3	33.0	179	20.411	3655700	3	100	3294
O60925	1	Prefoldin subunit 1	PFDN1	1	1	9.0	122	7.197	639740	1	101	3307
O60936	1	Nucleolar protein 3	NOL3	1	1	3.8	208	5.6535	415900	1	102	3689
O75083	15	WD repeat-containing protein 1	WDR1	1	15	40.1	606	93.462	15351000	15	103	188
O75131	2;1;1;1;1;1;1;1	Copine-3;Copine-2;Copine-9;Copine-4;Copine-6;Copine-8;Copine-5;Copine-7	CPNE3;CPNE2;CPNE9;CPNE4;CPNE6;CPNE8;CPNE5;CPNE7	8	2	3.4	537;548;553;557;557;564;593;633	13.469	1440500	2	104	825
O75190	1	DnaJ homolog subfamily B member 6	DNAJB6	1	1	3.4	326	6.3353	535070	1	105	5814
O75340	2	Programmed cell death protein 6	PDCD6	1	2	11.0	191	12.559	2260600	2	106	3896
O75347	6	Tubulin-specific chaperone A	TBCA	1	6	38.9	108	37.627	6451800	6	107	851
O75352	1	Mannose-P-dolichol utilization defect 1 protein	MPDU1	1	1	4.0	247	5.9506	619990	1	108	3731
O75369	58	Filamin-B	FLNB	1	58	31.6	2602	323.31	93311000	62	109	182
O75390	6	Citrate synthase, mitochondrial	CS	1	6	13.7	466	38.611	8204400	6	110	298
O75436	1	Vacuolar protein sorting-associated protein 26A	VPS26A	1	1	2.4	327	5.7127	1134400	1	111	4779
O75475	2	PC4 and SFRS1-interacting protein	PSIP1	1	2	4.7	530	14.078	1710400	2	112	2748
